code	n	drug	search1	search2	search3	Psoriasis ONLY medication	Eczema OR psoriasis medication	INCLUDE_FINAL
2038460150	1288	paracetamol						0
1140868226	933	aspirin						0
1140861958	780	simvastatin						0
1140871310	776	ibuprofen						0
1141179992	543	dovobet ointment	1		1	y		1
1140865634	481	omeprazole						0
99999	434	"Free-text entry, unable to be coded"						0
1141188442	407	glucosamine product						0
1140860806	376	ramipril						0
1140909674	372	cod liver oil capsule	1					0
1141194794	366	bendroflumethiazide						0
1140882694	348	betnovate cream	1		1		y	1
1140879802	346	amlodipine						0
1140869848	315	methotrexate	1	1	1		y	1
1140864752	291	lansoprazole						0
1141191044	281	levothyroxine sodium						0
1140866738	278	atenolol						0
1140870422	273	folic acid product						0
1193	260	omega-3/fish oil supplement						0
1140884600	249	metformin						0
1140880086	248	calcipotriol	1	1	1	y		1
1141146234	240	atorvastatin						0
1140864184	238	dovonex 50micrograms/g cream	1			y		1
1140923346	223	co-codamol						0
1140860696	197	lisinopril						0
1140861998	186	ventolin 100micrograms inhaler						0
1140852976	183	multivitamins						0
1140884488	180	diclofenac						0
1140879616	153	amitriptyline						0
1140882782	148	dermovate cream	1		1		y	1
1140878226	131	diprobase cream					y	1
1140882618	130	diprosalic ointment	1		1		y	1
1140864992	127	tramadol						0
1140874790	127	betamethasone	1	1	1		y	1
1140879406	118	ranitidine						0
1140879760	115	bisoprolol						0
1140921600	112	citalopram						0
1140883504	110	cetirizine						0
1140878378	104	dovonex 50micrograms/g ointment	1			y		1
1140916682	101	evening primrose oil						0
1140879540	99	fluoxetine						0
1140888560	97	perindopril						0
1140875408	94	allopurinol	1	1	1			0
1140882800	94	eumovate cream	1		1		y	1
1140910884	94	dovonex scalp solution	1			y		1
1140884700	91	trimovate ointment					y	1
1140874744	90	gliclazide						0
1140911732	90	garlic product						0
1141156836	88	candesartan cilexetil						0
1140876592	86	multivitamin+mineral preparations						0
1187	85	chondroitin product						0
1140871462	84	naproxen						0
1140881856	79	salbutamol						0
1140909708	78	furosemide						0
1140926934	78	tamsulosin						0
1141167140	78	exorex lotion				y		1
1140879778	77	doxazosin						0
1140883066	77	insulin product						0
1140909726	76	vitamin c product						0
1140916356	74	losartan						0
1140888538	72	zinc product						0
1140878512	71	capasal shampoo	1			y		1
1140888266	67	warfarin						0
1141176832	66	seretide 50 evohaler						0
1140922174	64	alendronate sodium						0
1140888646	63	felodipine						0
1140862772	61	loratadine						0
1140878498	60	polytar liquid	1				y	1
1140865354	59	gaviscon liquid						0
1140923350	59	co-dydramol						0
1141164828	58	adcal-d3 1.5g/10micrograms chewable tablet						0
1141192410	58	rosuvastatin						0
1140909786	57	beclometasone					y	1
1140871024	56	vitamin b compound tablet						0
1140909702	56	sulfasalazine						0
1140871050	54	calcichew d3 tablet						0
1140874420	54	quinine						0
1141192736	54	ezetimibe						0
1140879842	53	propranolol						0
1140884516	53	thyroxine product						0
1140926606	53	salbutamol 100micrograms spacehaler						0
1141152998	53	irbesartan						0
1141179982	53	betamethasone+calcipotriol				y		1
1140876404	52	aqueous cream bp					y	1
1140884444	52	codeine						0
1140888092	52	elocon cream	1		1		y	1
1140888552	52	enalapril						0
1140874896	49	hydrocortisone	1	1	1		y	1
1140927730	49	epaderm ointment					y	1
1141146138	48	lipitor 10mg tablet						0
1141168318	48	clopidogrel						0
1140879428	47	mebeverine						0
1141167594	47	qvar 50 inhaler						0
1140876424	46	cocois ointment	1			y		1
1141174032	46	doublebase gel					y	1
1140878346	45	alphosyl cream	1			y		1
1141174520	42	symbicort 100/6 turbohaler						0
1140874930	41	prednisolone					y	1
1140878304	41	e45 cream	1				y	1
1140872228	40	gabapentin						0
1140880092	40	neotigason 10mg capsule				y		1
1140926732	40	meloxicam						0
1140861806	39	aspirin 75mg tablet						0
1140888648	39	pravastatin						0
1140909806	39	dosulepin						0
1140880090	38	acitretin	1	1	1	y		1
1140884464	38	dihydrocodeine						0
1140911734	38	ginkgo forte tablet						0
1141145660	38	valsartan						0
1140879464	37	loperamide						0
1140888098	37	fluticasone	1	1	1			0
1140870788	36	calcium salts						0
1140882910	36	daktacort cream					y	1
1199	36	food supplement/plant/herbal extract						0
1140867878	35	sertraline						0
1140878418	35	alphosyl hc cream	1			y		1
1140916282	35	venlafaxine						0
1140860954	34	isosorbide mononitrate						0
1141150944	34	nasonex 0.05% aqueous nasal spray						0
1140851812	33	gtn 400micrograms spray	1					0
1140862382	33	becotide 50 inhaler						0
1140864346	31	cocois scalp ointment	1			y		1
1140867888	31	paroxetine						0
1140888074	31	clobetasol	1	1			y	1
1140888172	31	mometasone	1	1	1		y	1
1141177526	31	esomeprazole						0
1140868550	30	finasteride						0
1140870390	30	ferrous sulphate						0
1140876136	30	beconase 50micrograms nasal spray						0
1141180200	29	silkis 3micrograms/g ointment	1			y		1
1141182628	29	tiotropium						0
1140852948	28	calcium+vitamin d 500units tablet						0
1140879902	28	coal tar product	1			y		1
1140865800	27	lactulose product						0
1140866078	27	indapamide						0
1140860834	26	glyceryl trinitrate	1					0
1140870954	26	vitamin d product				y		1
1140873548	26	oxytetracycline						0
1140878324	26	oilatum cream						0
1141146428	26	fexofenadine						0
1141171646	26	pioglitazone						0
1140921024	25	betacap scalp application	1		1		y	1
1141152732	25	mirtazapine						0
1140863144	24	zopiclone						0
1140866122	24	bendrofluazide						0
1140883748	24	selenium product						0
1140910766	24	nicorandil						0
1140862086	23	salamol 100micrograms inhaler						0
1140862148	23	serevent 25mcg inhaler						0
1140870306	23	iron+folic acid						0
1140913292	23	synalar 1:10 cream					y	1
1140923732	23	curatoderm 4micrograms/g ointment	1			y		1
1141145710	23	alphosyl shampoo	1			y		1
1140866236	22	spironolactone						0
1140881472	22	lacri-lube eye ointment						0
1140883568	22	oxybutynin						0
1140888386	22	iron product	1					0
1140925800	22	movicol oral powder						0
1141146188	22	latanoprost						0
1141146198	22	xalatan 0.005% eye drops						0
2038459814	22	digoxin						0
1140861128	21	tildiem 60mg m/r tablet						0
1140863152	21	diazepam						0
